reporting_year,geoid,boro_ct2020,vacant_on_12_31,count_vacant,perc_vacant,total_storefronts
2019 and 2020,36005000200,2000200,NO,3,1,3
2019 and 2020,36005000400,2000400,NO,10,0.83,12
2019 and 2020,36005000400,2000400,YES,2,0.17,12
2019 and 2020,36005001600,2001600,NO,4,1,4
2019 and 2020,36005001901,2001901,NO,31,0.97,32
2019 and 2020,36005001901,2001901,YES,1,0.03,32
2019 and 2020,36005001902,2001902,NO,39,0.91,43
2019 and 2020,36005001902,2001902,YES,4,0.09,43
2019 and 2020,36005001903,2001903,NO,6,1,6
2019 and 2020,36005002002,2002002,NO,13,1,13
2019 and 2020,36005002300,2002300,NO,2,1,2
2019 and 2020,36005002500,2002500,NO,54,0.96,56
2019 and 2020,36005002500,2002500,YES,2,0.04,56
2019 and 2020,36005002701,2002701,NO,16,1,16
2019 and 2020,36005002702,2002702,NO,25,0.93,27
2019 and 2020,36005002702,2002702,YES,2,0.07,27
2019 and 2020,36005002800,2002800,NO,29,0.97,30
2019 and 2020,36005002800,2002800,YES,1,0.03,30
2019 and 2020,36005003100,2003100,NO,49,1,49
2019 and 2020,36005003300,2003300,NO,10,1,10
2019 and 2020,36005003500,2003500,NO,27,1,27
2019 and 2020,36005003700,2003700,NO,1,1,1
2019 and 2020,36005003900,2003900,NO,75,0.93,81
2019 and 2020,36005003900,2003900,YES,6,0.07,81
2019 and 2020,36005004001,2004001,NO,3,1,3
2019 and 2020,36005004100,2004100,NO,23,0.88,26
2019 and 2020,36005004100,2004100,YES,3,0.12,26
2019 and 2020,36005004200,2004200,NO,42,0.81,52
2019 and 2020,36005004200,2004200,YES,10,0.19,52
2019 and 2020,36005004300,2004300,NO,100,0.9,111
2019 and 2020,36005004300,2004300,YES,11,0.1,111
2019 and 2020,36005004400,2004400,NO,17,1,17
2019 and 2020,36005004600,2004600,NO,11,1,11
2019 and 2020,36005004800,2004800,NO,29,0.97,30
2019 and 2020,36005004800,2004800,YES,1,0.03,30
2019 and 2020,36005005001,2005001,NO,15,0.79,19
2019 and 2020,36005005001,2005001,YES,4,0.21,19
2019 and 2020,36005005002,2005002,NO,40,1,40
2019 and 2020,36005005100,2005100,NO,20,0.8,25
2019 and 2020,36005005100,2005100,YES,5,0.2,25
2019 and 2020,36005005200,2005200,NO,8,1,8
2019 and 2020,36005005300,2005300,NO,5,1,5
2019 and 2020,36005005400,2005400,NO,73,0.99,74
2019 and 2020,36005005400,2005400,YES,1,0.01,74
2019 and 2020,36005005600,2005600,NO,18,0.9,20
2019 and 2020,36005005600,2005600,YES,2,0.1,20
2019 and 2020,36005005902,2005902,NO,24,0.96,25
2019 and 2020,36005005902,2005902,YES,1,0.04,25
2019 and 2020,36005006000,2006000,NO,15,0.88,17
2019 and 2020,36005006000,2006000,YES,2,0.12,17
2019 and 2020,36005006100,2006100,NO,35,0.92,38
2019 and 2020,36005006100,2006100,YES,3,0.08,38
2019 and 2020,36005006200,2006200,NO,20,0.87,23
2019 and 2020,36005006200,2006200,YES,3,0.13,23
2019 and 2020,36005006301,2006301,NO,110,0.92,119
2019 and 2020,36005006301,2006301,YES,9,0.08,119
2019 and 2020,36005006400,2006400,NO,1,1,1
2019 and 2020,36005006500,2006500,NO,154,0.93,166
2019 and 2020,36005006500,2006500,YES,12,0.07,166
2019 and 2020,36005006700,2006700,NO,67,0.91,74
2019 and 2020,36005006700,2006700,YES,7,0.09,74
2019 and 2020,36005006800,2006800,NO,8,0.89,9
2019 and 2020,36005006800,2006800,YES,1,0.11,9
2019 and 2020,36005006900,2006900,NO,26,0.9,29
2019 and 2020,36005006900,2006900,YES,3,0.1,29
2019 and 2020,36005007000,2007000,NO,26,1,26
2019 and 2020,36005007100,2007100,NO,57,0.84,68
2019 and 2020,36005007100,2007100,YES,11,0.16,68
2019 and 2020,36005007200,2007200,NO,44,0.96,46
2019 and 2020,36005007200,2007200,YES,2,0.04,46
2019 and 2020,36005007300,2007300,NO,28,0.88,32
2019 and 2020,36005007300,2007300,YES,4,0.12,32
2019 and 2020,36005007500,2007500,NO,17,0.89,19
2019 and 2020,36005007500,2007500,YES,2,0.11,19
2019 and 2020,36005007600,2007600,NO,80,0.99,81
2019 and 2020,36005007600,2007600,YES,1,0.01,81
2019 and 2020,36005007700,2007700,NO,26,0.96,27
2019 and 2020,36005007700,2007700,YES,1,0.04,27
2019 and 2020,36005007800,2007800,NO,41,0.95,43
2019 and 2020,36005007800,2007800,YES,2,0.05,43
2019 and 2020,36005007900,2007900,NO,26,0.84,31
2019 and 2020,36005007900,2007900,YES,5,0.16,31
2019 and 2020,36005008300,2008300,NO,43,0.96,45
2019 and 2020,36005008300,2008300,YES,2,0.04,45
2019 and 2020,36005008400,2008400,NO,1,1,1
2019 and 2020,36005008500,2008500,NO,27,0.82,33
2019 and 2020,36005008500,2008500,YES,6,0.18,33
2019 and 2020,36005008700,2008700,NO,55,0.96,57
2019 and 2020,36005008700,2008700,YES,2,0.04,57
2019 and 2020,36005008900,2008900,NO,50,0.91,55
2019 and 2020,36005008900,2008900,YES,5,0.09,55
2019 and 2020,36005009000,2009000,NO,25,0.96,26
2019 and 2020,36005009000,2009000,YES,1,0.04,26
2019 and 2020,36005009200,2009200,NO,79,0.93,85
2019 and 2020,36005009200,2009200,YES,6,0.07,85
2019 and 2020,36005009301,2009301,NO,51,0.84,61
2019 and 2020,36005009301,2009301,YES,10,0.16,61
2019 and 2020,36005009302,2009302,NO,45,0.96,47
2019 and 2020,36005009302,2009302,YES,2,0.04,47
2019 and 2020,36005009600,2009600,NO,34,0.97,35
2019 and 2020,36005009600,2009600,YES,1,0.03,35
2019 and 2020,36005009800,2009800,NO,10,0.91,11
2019 and 2020,36005009800,2009800,YES,1,0.09,11
2019 and 2020,36005011502,2011502,NO,37,0.97,38
2019 and 2020,36005011502,2011502,YES,1,0.03,38
2019 and 2020,36005011701,2011701,NO,18,1,18
2019 and 2020,36005011800,2011800,NO,4,1,4
2019 and 2020,36005011900,2011900,NO,57,1,57
2019 and 2020,36005012101,2012101,NO,15,1,15
2019 and 2020,36005012102,2012102,NO,3,0.75,4
2019 and 2020,36005012102,2012102,YES,1,0.25,4
2019 and 2020,36005012300,2012300,NO,13,0.93,14
2019 and 2020,36005012300,2012300,YES,1,0.07,14
2019 and 2020,36005012500,2012500,NO,21,0.88,24
2019 and 2020,36005012500,2012500,YES,3,0.12,24
2019 and 2020,36005012701,2012701,NO,33,0.89,37
2019 and 2020,36005012701,2012701,YES,4,0.11,37
2019 and 2020,36005012901,2012901,NO,40,0.77,52
2019 and 2020,36005012901,2012901,YES,12,0.23,52
2019 and 2020,36005013000,2013000,NO,4,1,4
2019 and 2020,36005013100,2013100,NO,23,1,23
2019 and 2020,36005013200,2013200,NO,16,1,16
2019 and 2020,36005013300,2013300,NO,12,0.8,15
2019 and 2020,36005013300,2013300,YES,3,0.2,15
2019 and 2020,36005013500,2013500,NO,9,1,9
2019 and 2020,36005013800,2013800,NO,3,1,3
2019 and 2020,36005014100,2014100,NO,35,0.92,38
2019 and 2020,36005014100,2014100,YES,3,0.08,38
2019 and 2020,36005014300,2014300,NO,14,0.67,21
2019 and 2020,36005014300,2014300,YES,7,0.33,21
2019 and 2020,36005014400,2014400,NO,4,1,4
2019 and 2020,36005014500,2014500,NO,39,0.91,43
2019 and 2020,36005014500,2014500,YES,4,0.09,43
2019 and 2020,36005014701,2014701,NO,5,1,5
