,reporting_year,borough_block_lot,property_street_address_or,borough,zip_code,sold_date,vacant_on_12_31,construction_reported,vacant_6_30_or_date_sold,primary_business_activity,property_number,property_street,unit,borough_1,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,nbhd,expir_dt_of_most_recent_lease,coordinates,bidid,coun_dist_2023
248854,2022 and 2023,3007760038,4806 7 AVENUE,BROOKLYN,11220.0,,FILLED,,,RETAIL,4806,7 AVENUE,,Brooklyn,11220.0,40.64357189999999,-74.0051457,307.0,38.0,9800.0,3012725,3007760038,BK0703,Sunset Park (Central),,POINT (-74.0051457 40.64357189999999),,43.0
248855,2022 and 2023,3007770036,4802 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,EDUCATIONAL SERVICES,4802,8 AVENUE,,Brooklyn,11220.0,40.6422874,-74.0028609999999,307.0,38.0,10801.0,3012768,3007770036,BK0703,Sunset Park (Central),,POINT (-74.0028609999999 40.6422874),,43.0
248856,2022 and 2023,3007770036,4802 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,MISCELLANEOUS OTHER SERVICE,4802,8 AVENUE,,Brooklyn,11220.0,40.6422874,-74.0028609999999,307.0,38.0,10801.0,3012768,3007770036,BK0703,Sunset Park (Central),,POINT (-74.0028609999999 40.6422874),,43.0
248857,2022 and 2023,3007770038,4806 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,FINANCE & INSURANCE,4806,8 AVENUE,,Brooklyn,11220.0,40.64219680000001,-74.0029511,307.0,38.0,10801.0,3012770,3007770038,BK0703,Sunset Park (Central),,POINT (-74.0029511 40.64219680000001),,43.0
248858,2022 and 2023,3007770041,4816 8th Avenue,BROOKLYN,11220.0,,FILLED,,,OTHER,4816,8 AVENUE,,Brooklyn,11220.0,40.64204310000001,-74.0031601,307.0,38.0,10801.0,3012773,3007770041,BK0703,Sunset Park (Central),,POINT (-74.0031601 40.64204310000001),,43.0
248859,2022 and 2023,3007770042,4818 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,OTHER,4818,8 AVENUE,,Brooklyn,11220.0,40.64200189999999,-74.0032033,307.0,38.0,10801.0,3012774,3007770042,BK0703,Sunset Park (Central),,POINT (-74.0032033 40.64200189999999),,43.0
248860,2022 and 2023,3007770043,4822 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,FINANCE & INSURANCE,4822,8 AVENUE,,Brooklyn,11220.0,40.641958,-74.0032466,307.0,38.0,10801.0,3012775,3007770043,BK0703,Sunset Park (Central),,POINT (-74.0032466 40.641958),,43.0
248861,2022 and 2023,3007770044,4824 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,FINANCE & INSURANCE,4824,8 AVENUE,,Brooklyn,11220.0,40.6419141,-74.0032933999999,307.0,38.0,10801.0,3012776,3007770044,BK0703,Sunset Park (Central),,POINT (-74.0032933999999 40.6419141),,43.0
248862,2022 and 2023,3007770044,4824 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,RETAIL,4824,8 AVENUE,,Brooklyn,11220.0,40.6419141,-74.0032933999999,307.0,38.0,10801.0,3012776,3007770044,BK0703,Sunset Park (Central),,POINT (-74.0032933999999 40.6419141),,43.0
248863,2022 and 2023,3007780001,811 49 St,BROOKLYN,11220.0,,FILLED,,,FOOD SERVICES,4823,8 AVENUE,,Brooklyn,11220.0,40.6416067,-74.002789,312.0,38.0,10802.0,3012805,3007780001,BK1201,Sunset Park (East)-Borough Park (West),,POINT (-74.002789 40.6416067),,43.0
248864,2022 and 2023,3007780001,4823-1R 8 Avenue,BROOKLYN,11220.0,,FILLED,,,FOOD SERVICES,4823,8 AVENUE,,Brooklyn,11220.0,40.6416067,-74.002789,312.0,38.0,10802.0,3012805,3007780001,BK1201,Sunset Park (East)-Borough Park (West),,POINT (-74.002789 40.6416067),,43.0
248865,2022 and 2023,3007780001,4823 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,FOOD SERVICES,4823,8 AVENUE,,Brooklyn,11220.0,40.6416067,-74.002789,312.0,38.0,10802.0,3012805,3007780001,BK1201,Sunset Park (East)-Borough Park (West),,POINT (-74.002789 40.6416067),,43.0
248866,2022 and 2023,3007780001,4823 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,RETAIL,4823,8 AVENUE,,Brooklyn,11220.0,40.6416067,-74.002789,312.0,38.0,10802.0,3012805,3007780001,BK1201,Sunset Park (East)-Borough Park (West),,POINT (-74.002789 40.6416067),,43.0
248867,2022 and 2023,3007780002,4821 8 AVENUE,BROOKLYN,11220.0,,VACANT,,,NO BUSINESS ACTIVITY IDENTIFIED,4821,8 AVENUE,,Brooklyn,11220.0,40.6416506,-74.0027421,312.0,38.0,10802.0,3012806,3007780002,BK1201,Sunset Park (East)-Borough Park (West),,POINT (-74.0027421 40.6416506),,43.0
248868,2022 and 2023,3007780004,4817 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,FOOD SERVICES,4817,8 AVENUE,,Brooklyn,11220.0,40.64173840000001,-74.002652,312.0,38.0,10802.0,3012808,3007780004,BK1201,Sunset Park (East)-Borough Park (West),,POINT (-74.002652 40.64173840000001),,43.0
248893,2022 and 2023,3007850037,4902 7 AVENUE,BROOKLYN,11220.0,,FILLED,,,RETAIL,4902,7 AVENUE,,Brooklyn,11220.0,40.64301189999999,-74.0057294,307.0,38.0,9800.0,3013046,3007850037,BK0703,Sunset Park (Central),,POINT (-74.0057294 40.64301189999999),,43.0
248894,2022 and 2023,3007850037,4904 7 AVENUE,BROOKLYN,11220.0,,FILLED,,,OTHER,4902,7 AVENUE,,Brooklyn,11220.0,40.64301189999999,-74.0057294,307.0,38.0,9800.0,3013046,3007850037,BK0703,Sunset Park (Central),,POINT (-74.0057294 40.64301189999999),,43.0
248895,2022 and 2023,3007850037,4910 7 AVENUE,BROOKLYN,11220.0,,FILLED,,,RETAIL,4902,7 AVENUE,,Brooklyn,11220.0,40.64301189999999,-74.0057294,307.0,38.0,9800.0,3013046,3007850037,BK0703,Sunset Park (Central),,POINT (-74.0057294 40.64301189999999),,43.0
248896,2022 and 2023,3007860035,772 49th Street,BROOKLYN,11220.0,,VACANT,,,NO BUSINESS ACTIVITY IDENTIFIED,772,49 STREET,,Brooklyn,11220.0,40.6417603,-74.0037293999999,307.0,38.0,10801.0,3329872,3007860035,BK0703,Sunset Park (Central),,POINT (-74.0037293999999 40.6417603),,43.0
248897,2022 and 2023,3007860036,774 49 STREET,BROOKLYN,11220.0,,VACANT,,,NO BUSINESS ACTIVITY IDENTIFIED,774,49 STREET,,Brooklyn,11220.0,40.64172469999999,-74.0036718,307.0,38.0,10801.0,3329873,3007860036,BK0703,Sunset Park (Central),,POINT (-74.0036718 40.64172469999999),,43.0
248898,2022 and 2023,3007860045,4920 8 AVENUE,BROOKLYN,11220.0,,FILLED,,,RETAIL,4920,8 AVENUE,,Brooklyn,11220.0,40.64141999999999,-74.0037546,307.0,38.0,10801.0,3013115,3007860045,BK0703,Sunset Park (Central),,POINT (-74.0037546 40.64141999999999),,43.0
248899,2022 and 2023,3007860049,775 50 STREET,BROOKLYN,11220.0,,FILLED,,,MISCELLANEOUS OTHER SERVICE,775,50 STREET,,Brooklyn,11220.0,40.6415215,-74.0039311999999,307.0,38.0,10801.0,3424561,3007860049,BK0703,Sunset Park (Central),,POINT (-74.0039311999999 40.6415215),,43.0
248900,2022 and 2023,3007860049,775 50 STREET,BROOKLYN,11220.0,,VACANT,,,NO BUSINESS ACTIVITY IDENTIFIED,775,50 STREET,,Brooklyn,11220.0,40.6415215,-74.0039311999999,307.0,38.0,10801.0,3424561,3007860049,BK0703,Sunset Park (Central),,POINT (-74.0039311999999 40.6415215),,43.0
248901,2022 and 2023,3007860049,775 50 STREET,BROOKLYN,11220.0,,FILLED,,,MISCELLANEOUS OTHER SERVICE,775,50 STREET,,Brooklyn,11220.0,40.6415215,-74.0039311999999,307.0,38.0,10801.0,3424561,3007860049,BK0703,Sunset Park (Central),,POINT (-74.0039311999999 40.6415215),,43.0
